t_ms,ax,ay,az,gx,gy,gz,roll,pitch,alt_m
1630,-0.696,-0.247,9.998,-0.1686,-0.0089,-0.0371,0.19,-0.13,111.89
1640,-0.569,-0.286,10.329,-0.3210,0.2876,-0.0554,-0.46,-0.15,111.98
1650,0.084,-0.028,9.826,0.4425,0.4852,-0.0457,-0.17,0.17,111.99
1661,-0.316,-0.027,9.857,-0.1744,-0.2835,0.0433,0.01,0.41,112.03
1671,0.069,0.087,9.649,0.1538,-0.1055,0.0750,-0.38,-0.15,112.08
1681,0.106,0.196,9.414,0.2999,0.2361,-0.0530,0.20,0.31,111.98
1690,0.278,0.560,9.904,-0.4548,-0.2097,0.0504,-0.01,0.09,112.07
1701,0.056,-0.207,10.103,-0.4089,0.2254,-0.0585,-0.31,0.11,111.96
1711,0.041,-0.410,9.632,-0.1231,-0.5545,-0.0591,-0.46,0.36,112.06
1720,0.111,0.119,9.825,0.3826,-0.2549,0.0525,-0.47,-0.49,111.98
1731,0.345,0.371,9.877,0.1090,-0.0796,0.0108,0.02,0.05,112.03
1740,0.106,-0.257,9.893,-0.3933,0.1789,-0.0660,-0.35,-0.57,112.07
1750,-0.413,-0.305,9.922,0.2609,0.1127,-0.0016,-0.41,0.28,111.96
1761,0.308,-0.250,9.676,0.9665,-0.3127,0.0546,-0.07,-0.45,111.86
1771,-0.273,-0.042,10.042,0.1041,0.0594,0.0050,0.68,-0.10,111.97
1781,-0.093,0.095,9.638,-0.4306,0.3103,-0.1021,0.08,-0.38,112.08
1791,-0.535,0.287,9.506,-0.0174,0.6136,-0.0117,0.23,0.26,112.07
1801,-0.186,0.088,9.628,0.0179,-0.7386,-0.0279,0.06,0.32,111.94
1810,0.285,0.154,9.679,-0.4241,-0.1366,0.0256,0.23,-0.57,111.96
1820,-0.063,-0.237,9.894,-0.3202,0.1775,-0.0145,-0.40,0.19,112.06
1831,-0.177,0.537,10.440,0.4466,-0.5183,-0.0131,-0.13,-0.38,111.95
1840,0.583,-0.344,9.831,0.1016,0.5442,-0.0511,0.08,-0.39,111.87
1851,-0.022,0.254,9.839,-0.1125,0.3237,0.0037,-0.01,0.24,112.13
1860,0.472,-0.040,9.964,-0.1676,-0.1522,0.0472,-0.06,-0.01,112.00
1871,0.117,0.023,9.412,-0.0237,0.5309,-0.0613,-0.20,0.09,111.95
1881,0.086,-0.106,9.539,-0.0159,-0.1472,0.0180,-0.08,0.61,111.96
1890,0.297,-0.016,10.417,-0.5459,-0.3356,-0.0173,-0.23,-0.07,112.05
1900,-0.004,-0.118,9.812,-0.1143,-0.3801,0.0492,-0.73,0.23,112.01
1911,0.502,-0.465,9.572,0.7097,-0.4103,0.0031,-0.36,-0.52,111.82
1921,-0.586,0.008,9.551,0.7021,0.6019,0.0404,0.14,-0.21,112.02
1930,-0.092,0.208,9.606,0.3396,-0.2937,-0.0490,0.47,0.15,111.96
1941,0.026,-0.073,9.848,-0.3773,-0.0942,-0.0241,0.54,-0.57,111.99
1950,-0.170,0.464,9.645,-0.2150,0.5044,-0.0164,0.03,0.07,112.01
1960,-0.046,0.105,9.705,0.1864,-0.2480,0.0065,0.27,-0.04,112.12
1970,-0.014,0.371,9.568,-0.4368,-0.2331,0.0343,0.27,-0.20,111.84
1981,-0.099,0.630,9.938,-0.6653,0.3040,0.0427,-0.21,-0.32,111.87
1991,-0.258,0.062,9.424,0.2065,0.3902,-0.0129,-0.51,0.14,112.05
2001,-0.346,0.104,9.686,-0.0312,0.2277,0.0648,0.01,0.13,111.94
2011,0.154,-0.090,9.965,-0.0616,-0.3662,-0.0098,-0.53,0.39,111.98
2020,0.279,-0.044,9.847,0.6264,0.1697,0.0036,-0.10,-0.29,112.04
2030,-0.229,0.217,9.797,-0.2479,0.5307,-0.0812,0.18,0.57,111.88
2041,-0.046,-0.021,10.163,-0.1848,-0.5853,-0.0416,-0.43,0.33,111.97
2051,0.105,0.436,9.378,0.6681,-0.4257,-0.0151,0.01,-0.09,111.94
2060,0.505,-0.178,9.659,0.0916,-0.3840,0.0650,0.37,-0.19,111.95
2070,-0.067,-0.195,9.646,-0.1657,0.3525,-0.0851,0.11,-0.50,112.15
2081,-0.341,-0.331,9.816,0.1262,0.7648,-0.0230,0.16,0.23,111.93
2091,-0.157,0.061,9.819,0.3227,-0.4235,0.0283,0.27,0.35,112.12
2101,0.290,-0.156,9.502,-0.2061,-0.3241,-0.0211,0.52,-0.24,111.81
2111,-0.610,-0.178,9.711,-0.1328,-0.1007,-0.0598,0.05,-0.03,111.97
2121,0.498,0.003,9.928,-0.0572,0.0642,0.0385,0.37,-0.36,112.00
2130,0.325,0.252,9.894,-0.4680,0.2743,-0.1254,-0.02,0.07,111.92
2141,0.394,0.002,10.354,0.1083,-0.1076,0.0232,-0.16,-0.04,112.13
2150,0.019,-0.243,9.987,0.0059,0.3667,-0.0118,0.09,-0.04,111.99
2160,-0.310,-0.186,9.725,-0.2466,-0.4114,0.0540,-0.18,0.38,112.19
2170,0.211,0.432,9.659,-0.0130,-0.2503,0.0236,-0.17,-0.52,111.88
2180,0.193,-0.019,10.154,-0.4699,-0.0700,-0.0707,-0.18,0.09,112.08
2190,-0.047,0.021,10.189,0.1992,-0.1931,-0.0942,-0.69,-0.58,112.07
2200,-0.127,-0.295,9.470,0.2780,0.0884,-0.0250,0.03,-0.15,112.07
2210,-0.040,-0.475,9.667,-0.0736,0.1573,0.0638,-0.38,-0.49,111.95
2220,0.115,-0.064,10.055,0.6886,0.0842,-0.0815,-0.03,0.05,111.91
2230,-0.321,0.254,9.381,-0.0768,-0.3215,-0.0429,0.43,-0.38,112.07
2240,-0.227,0.252,9.928,-0.4976,0.9613,0.0388,-0.16,-0.32,111.84
2251,-0.513,-0.371,9.767,0.4778,0.5330,0.0238,-0.16,0.72,111.92
2261,0.030,0.550,9.743,0.2854,-0.9845,0.0100,0.41,0.31,112.23
2271,-0.516,0.020,9.725,-0.0710,-0.7208,0.0880,0.16,-0.42,111.84
2280,-0.172,-0.170,9.797,-0.2710,0.2136,-0.0746,0.29,-0.53,112.04
2290,0.210,-0.021,9.860,-0.0488,0.2608,-0.0974,-0.11,-0.15,112.06
2301,0.081,-0.226,9.863,-0.0971,0.5746,-0.0009,0.22,-0.24,111.93
2311,-0.292,0.666,10.179,-0.3842,0.0408,-0.0530,-0.21,0.53,112.02
2320,0.132,-0.092,10.321,0.3525,-0.1164,0.0112,-0.20,-0.14,112.01
2330,0.076,0.402,9.940,0.0245,-0.0324,0.0555,0.18,0.41,111.84
2341,0.158,0.070,9.605,0.0634,-0.4300,-0.0242,-0.18,-0.14,112.15
2351,-0.239,-0.046,10.225,0.7557,0.2055,-0.0444,0.23,-0.08,112.00
2361,-0.327,0.312,9.921,-0.6431,-0.2681,0.0609,0.72,0.06,112.02
2370,-0.061,0.216,10.094,-0.8213,-0.1266,0.0031,-0.51,-0.35,112.07
2381,0.057,-0.296,9.806,0.7380,0.4020,0.0876,-0.23,-0.10,111.90
2391,0.032,-0.151,9.672,0.1724,-0.1774,0.0495,0.34,0.06,112.17
2401,-0.165,0.181,9.655,-0.0025,-0.2780,-0.0031,-0.04,-0.29,111.88
2410,0.013,-0.289,9.706,-0.2386,0.2974,-0.0561,0.35,-0.23,112.06
2420,0.686,-0.321,10.250,-0.2145,0.2098,-0.0144,-0.30,0.04,111.99
2430,0.006,0.359,10.119,0.2333,-0.1178,-0.0255,0.10,0.01,111.92
2440,-0.084,-0.152,9.973,-0.0562,0.0238,-0.0196,-0.05,-0.11,112.06
2450,0.308,-0.195,9.975,0.1211,-0.1457,-0.0286,0.04,0.01,112.08
2461,0.018,0.364,9.835,-0.3866,-0.3191,-0.0127,0.10,-0.28,111.91
2470,0.342,-0.090,9.549,-0.3679,-0.1292,-0.0544,-0.37,-0.35,111.95
2481,0.237,-0.090,9.545,0.6994,-0.0237,-0.0168,-0.32,-0.42,111.88
2490,0.002,-0.343,10.323,0.3643,0.1123,-0.1511,0.42,-0.40,112.06
2501,-0.388,-0.202,10.079,-0.3664,0.1369,-0.0318,0.09,-0.29,112.08
2510,-0.023,0.109,9.464,-0.0621,0.1939,0.0214,0.03,-0.25,111.95
2521,0.429,0.265,10.263,0.0954,0.2398,0.0980,-0.01,-0.05,112.18
2530,0.078,-0.243,9.630,-0.3227,-0.0689,0.0039,0.11,0.04,112.05
2540,-0.135,0.084,9.714,-0.3269,0.2431,0.0557,-0.35,-0.13,112.07
2550,-0.207,0.159,9.535,0.6668,0.1856,-0.0857,-0.30,0.34,112.13
2561,-0.096,-0.028,9.655,0.3407,-0.0655,0.0410,0.39,0.07,111.94
2571,-0.298,-0.040,9.837,-0.1002,0.2485,0.0485,0.05,0.27,112.06
2581,-0.115,0.019,9.791,-0.1956,-0.2789,-0.0428,0.26,0.36,111.99
2591,0.047,-0.208,9.674,0.1318,-0.4514,0.1349,-0.18,-0.08,111.94
2600,0.287,0.249,9.732,0.2092,0.0437,0.0074,0.41,-0.15,111.90
2610,-0.394,0.182,9.831,-0.1984,-0.1305,-0.0360,0.10,-0.01,111.96
2620,-0.523,-0.016,10.026,0.0593,0.2219,0.0204,0.14,-0.32,112.09
2631,0.468,-0.005,9.805,-0.3652,0.1571,0.0397,0.16,0.23,111.98
2640,-0.138,0.111,9.954,-0.6449,-0.4893,0.0220,-0.24,-0.11,112.00
2650,-0.281,-0.201,9.676,-0.0755,-0.2206,0.0336,-0.56,-0.38,112.06
2660,0.390,0.138,9.722,0.9215,0.3931,0.0322,-0.32,-0.36,112.08
2670,0.094,0.349,9.636,0.5997,0.2683,-0.0234,0.49,0.07,112.21
2681,-0.116,0.295,10.011,-0.4781,0.1679,-0.0034,0.39,-0.07,112.00
2690,-0.135,0.013,9.733,-0.4449,0.3073,-0.0273,-0.10,0.26,111.97
2700,-0.193,0.210,9.556,0.3558,0.1537,-0.0573,-0.09,0.22,112.00
2710,0.297,0.109,9.878,0.0393,-0.2742,0.0358,0.31,0.45,112.20
2720,-0.120,-0.049,9.483,-0.6094,-0.1228,0.0584,-0.05,-0.08,111.93
2731,-0.274,0.026,10.118,0.3882,-0.1004,0.0216,-0.39,0.27,112.12
2740,0.000,-0.094,9.747,0.4929,-0.0912,0.0879,0.38,-0.20,112.05
2751,0.093,-0.109,10.013,-0.9938,-0.0467,-0.0050,0.14,0.15,112.02
2760,0.193,-0.151,10.039,-0.2079,0.1463,0.0519,-0.75,-0.25,111.91
2770,-0.221,-0.640,9.665,0.6883,0.1749,-0.0278,-0.09,0.32,112.02
2780,0.093,-0.175,9.486,0.1926,-0.2027,-0.0165,0.04,-0.06,112.00
2791,0.056,-0.306,9.896,0.0114,-0.1055,0.0519,0.14,0.11,111.93
2801,0.188,0.141,9.736,-0.2597,0.2202,0.0354,0.05,-0.19,112.17
2811,-0.141,-0.256,9.642,-0.0584,0.1156,0.0990,-0.19,0.35,112.11
2821,-0.077,0.061,9.543,0.2738,-0.3037,0.0435,-0.03,-0.08,111.99
2831,0.193,0.425,9.694,-0.0141,-0.2319,-0.0034,0.09,-0.02,112.05
2840,0.338,-0.034,9.967,-0.1894,-0.2485,-0.0163,-0.08,-0.33,112.00
2851,0.400,-0.189,9.641,0.4043,-0.0931,0.0418,-0.11,-0.27,112.09
2861,0.365,-0.205,9.777,-0.1522,0.3948,0.0806,0.38,-0.40,112.04
2870,-0.287,-0.678,9.764,-0.4539,0.1207,-0.0150,-0.28,0.19,111.97
2880,0.248,0.109,9.692,-0.2881,-0.3031,0.1887,-0.10,-0.25,112.05
2891,0.112,-0.105,9.428,0.2375,0.4224,-0.0110,-0.61,-0.15,112.09
2900,-0.457,0.397,9.544,0.7422,-0.1627,0.0132,0.16,0.24,112.06
2911,0.194,0.145,9.173,0.0199,-0.4007,0.0070,0.25,-0.30,112.09
2920,0.119,0.118,9.801,-0.0037,0.1904,-0.0519,0.16,-0.23,111.88
2931,0.269,-0.225,10.029,-0.0104,0.5959,-0.0108,0.28,-0.08,112.05
2940,0.033,0.048,9.849,-0.1531,0.0949,0.0200,0.13,0.44,112.04
2951,0.268,-0.428,9.830,0.0644,-0.2274,0.0656,0.10,0.02,112.15
2960,-0.350,0.056,9.878,-0.1636,-0.1014,0.0752,0.14,0.12,112.04
2970,0.204,-0.003,9.550,0.1883,0.1304,-0.0505,-0.08,-0.12,111.96
2980,-0.142,0.262,9.914,-0.0247,-0.1317,-0.0093,0.36,0.27,112.05
2990,0.015,-0.435,9.579,-0.6755,12.9019,-0.0202,-0.10,-0.29,112.05
3000,-2.444,-0.309,23.864,0.7065,12.3235,0.0202,-0.44,15.03,111.97
3011,-2.048,0.260,22.230,1.6113,-2.4215,0.0209,0.68,13.82,112.10
3020,-1.812,-0.076,18.081,0.2404,-2.2622,0.0163,1.40,12.27,112.07
3031,-2.180,-0.030,14.747,0.2112,-2.2292,0.0213,0.98,11.26,111.86
3040,-1.655,0.384,12.690,0.7772,-2.3851,-0.0287,1.66,9.71,111.90
3051,-0.581,0.240,13.543,0.6313,-2.4843,0.0758,1.90,8.55,112.17
3061,-0.305,0.471,16.968,0.9183,-2.3184,0.0015,2.40,6.87,111.99
